dept_id,deptl_authoratative_name,dept,school_id,school
1000000150,Tufts University. Africana Studies.,Africana Studies,1000000000,"Arts, Sciences & Engineering"
1000000200,Tufts University. American Studies Program.,American Studies,1000000000,"Arts, Sciences & Engineering"
1000000300,Tufts University. Department of Anthropology,Anthropology,1000000000,"Arts, Sciences & Engineering"
1000000400,Tufts University. Department of Art and Art History.,Art and Art History,1000000000,"Arts, Sciences & Engineering"
1000000450,Tufts University. Asian Studies.,Asian Studies,1000000000,"Arts, Sciences & Engineering"
1000000550,Tufts University. Bioengineering Program.,Bioengineering,1000000000,"Arts, Sciences & Engineering"
1000000600,Tufts University. Department of Biology.,Biology,1000000000,"Arts, Sciences & Engineering"
1000000700,Tufts University. Department of Biomedical Engineering.,Biomedical Engineering,1000000000,"Arts, Sciences & Engineering"
1000000800,Tufts University. Center for Interdisciplinary Studies.,Center of Interdis Studies,1000000000,"Arts, Sciences & Engineering"
1000001000,Tufts University. Department of Chemical and Biological Engineering.,Chemical And Biological Eng,1000000000,"Arts, Sciences & Engineering"
1000001100,Tufts University. Department of Chemistry.,Chemistry,1000000000,"Arts, Sciences & Engineering"
1000001300,Tufts University. Department of Civil and Environmental Engineering.,Civil And Environmental Eng,1000000000,"Arts, Sciences & Engineering"
1000001400,Tufts University. Department of Classics.,Classics,1000000000,"Arts, Sciences & Engineering"
1000001450,Tufts University. Cognitive and Brain Sciences.,Cognitive & Brain Studies,1000000000,"Arts, Sciences & Engineering"
1000001500,Tufts University. College of Special Studies.,College Special Studies,1000000000,"Arts, Sciences & Engineering"
1000004550,Tufts University. Colonialism Studies.,Colonialism Studies,1000000000,"Arts, Sciences & Engineering"
1000001600,Tufts University. Communications and Media Studies.,Communication & Media Studies,1000000000,"Arts, Sciences & Engineering"
1000001700,Tufts University. Community Health Program.,Community Health,1000000000,"Arts, Sciences & Engineering"
1000001800,Tufts University. Department of Computer Science.,Computer Science,1000000000,"Arts, Sciences & Engineering"
1000001900,Tufts University. Department of Drama and Dance.,Drama And Dance,1000000000,"Arts, Sciences & Engineering"
1000001200,Tufts University. Eliot-Pearson Department of Child Development.,EP Child Study & Human Dev.,1000000000,"Arts, Sciences & Engineering"
1000002000,Tufts University. Department of Earth and Ocean Sciences.,Earth and Ocean Sci/Geology,1000000000,"Arts, Sciences & Engineering"
1000002100,Tufts University. Department of Economics.,Economics,1000000000,"Arts, Sciences & Engineering"
1000002200,Tufts University. Department of Education.,Education,1000000000,"Arts, Sciences & Engineering"
1000002300,Tufts University. Department of Electrical and Computer Engineering.,Electrical & Computer Eng.,1000000000,"Arts, Sciences & Engineering"
1000002400,Tufts University. School of Engineering.,Engineering,1000000000,"Arts, Sciences & Engineering"
1000002500,"Tufts University. Engineering Psychology/Human Factors
Engineering Program.",Engineering Psychology,1000000000,"Arts, Sciences & Engineering"
1000002600,Tufts University. Department of English.,English,1000000000,"Arts, Sciences & Engineering"
1000002700,Tufts University. Environmental Studies Program.,Environmental Studies,1000000000,"Arts, Sciences & Engineering"
1000002800,Tufts University. Experimental College.,Experimental College,1000000000,"Arts, Sciences & Engineering"
1000002900,"Tufts University. Department of German, Russian and Asian Languages and Literatures",German Russian Asian,1000000000,"Arts, Sciences & Engineering"
1000003000,Tufts University. School of Engineering. Gordon Institute.,Gordon Institute,1000000000,"Arts, Sciences & Engineering"
1000003100,Tufts University. Department of History.,History,1000000000,"Arts, Sciences & Engineering"
1000003200,Tufts University. Interdisciplinary Doctoral Program.,Interdisciplinary Doctoral Prg,1000000000,"Arts, Sciences & Engineering"
1000003300,Tufts University. International Relations Program.,International Relations,1000000000,"Arts, Sciences & Engineering"
1000003350,Tufts University. Latino Studies.,Latino Studies,1000000000,"Arts, Sciences & Engineering"
1000003400,Tufts University. Department of Mathematics.,Mathematics,1000000000,"Arts, Sciences & Engineering"
1000003500,Tufts University. Department of Mechanical Engineering.,Mechanical Engineering,1000000000,"Arts, Sciences & Engineering"
1000003600,Tufts University. School of the Museum of Fine Arts.,Museum School,1000000000,"Arts, Sciences & Engineering"
1000003700,Tufts University. Department of Music.,Music,1000000000,"Arts, Sciences & Engineering"
1000003900,Tufts University. Occupational Therapy Department.,Occupational Therapy,1000000000,"Arts, Sciences & Engineering"
1000004000,Tufts University. Peace and Justice Studies Program,Peace And Justice Studies,1000000000,"Arts, Sciences & Engineering"
1000004100,Tufts University. Department of Philosophy.,Philosophy ,1000000000,"Arts, Sciences & Engineering"
1000004200,Tufts University. Physical Education Program.,Physical Education ,1000000000,"Arts, Sciences & Engineering"
